Type,Name,URL,CRC,Size
FILE,pc1000.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME - Update Software List ROMs (v0.251 to v0.252)/pc1000.xml,1818779910,588
FILE,chessking_cart.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME - Update Software List ROMs (v0.251 to v0.252)/chessking_cart.xml,2123978779,604
FILE,vsmile_cart.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME - Update Software List ROMs (v0.251 to v0.252)/vsmile_cart.xml,2156535372,2961
FILE,ibm5170.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME - Update Software List ROMs (v0.251 to v0.252)/ibm5170.xml,1550352838,9581
FILE,spectrum_cass.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME - Update Software List ROMs (v0.251 to v0.252)/spectrum_cass.xml,3075923833,6463
FILE,MAME - Update CHDs (v0.251 to v0.252).xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME - Update CHDs (v0.251 to v0.252).xml,2189964796,2554
FILE,MAME 0.252 Multimedia.dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME 0.252 Multimedia.dat,228385209,1510003
DIRECTORY,MAME - Update Software List CHDs (v0.251 to v0.252),,,
FILE,ibm5170_hdd.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME - Update Software List CHDs (v0.251 to v0.252)/ibm5170_hdd.xml,3333915381,562
FILE,ibm5170_cdrom.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME - Update Software List CHDs (v0.251 to v0.252)/ibm5170_cdrom.xml,3557872122,17514
FILE,sgi_mips.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME - Update Software List CHDs (v0.251 to v0.252)/sgi_mips.xml,2850689703,1124
FILE,MAME - Update Software List CHDs (v0.251 to v0.252) (dir2dat).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME - Update Software List CHDs (v0.251 to v0.252) (dir2dat).dat,1520068127,10983
FILE,MAME 0.252 CHDs (merged).xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME 0.252 CHDs (merged).xml,1290080538,182337
FILE,MAME 0.252 ROMs (merged).xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME 0.252 ROMs (merged).xml,603531800,19659877
FILE,MAME 0.252 ROMs (split).xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME 0.252 ROMs (split).xml,4053922558,25166916
FILE,MAME 0.252 CHDs (merged) (dir2dat).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME 0.252 CHDs (merged) (dir2dat).dat,517653925,154910
FILE,MAME 0.252 ROMs (non-merged).xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME 0.252 ROMs (non-merged).xml,3880325133,44387183
DIRECTORY,MAME 0.252 Software List ROMs (merged),,,
FILE,altos5.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME 0.252 Software List ROMs (merged)/altos5.xml,1660823285,1104
FILE,electron_flop.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME 0.252 Software List ROMs (merged)/electron_flop.xml,3039423379,56851
FILE,spectrum_cart.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME 0.252 Software List ROMs (merged)/spectrum_cart.xml,1228815621,5408
FILE,atom_rom.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME 0.252 Software List ROMs (merged)/atom_rom.xml,2750064409,8836
FILE,ekara_pal.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME 0.252 Software List ROMs (merged)/ekara_pal.xml,3153044639,3056
FILE,novag_ssensor4.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME 0.252 Software List ROMs (merged)/novag_ssensor4.xml,2373493062,583
FILE,cbm2_cart.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME 0.252 Software List ROMs (merged)/cbm2_cart.xml,1272403395,1852
FILE,prof80.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME 0.252 Software List ROMs (merged)/prof80.xml,2105325903,680
FILE,interpro.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME 0.252 Software List ROMs (merged)/interpro.xml,2483939449,3141
FILE,pc8201.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME 0.252 Software List ROMs (merged)/pc8201.xml,1603173274,1358
FILE,r8_card.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME 0.252 Software List ROMs (merged)/r8_card.xml,3112042421,846
FILE,leapfrog_zippity_cart.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME 0.252 Software List ROMs (merged)/leapfrog_zippity_cart.xml,1531146770,1352
FILE,einstein.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME 0.252 Software List ROMs (merged)/einstein.xml,3715991077,30575
FILE,bw12.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME 0.252 Software List ROMs (merged)/bw12.xml,1789900682,682
FILE,tandy2k.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME 0.252 Software List ROMs (merged)/tandy2k.xml,3521288632,2715
FILE,hp9835a_rom.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME 0.252 Software List ROMs (merged)/hp9835a_rom.xml,28554027,2138
FILE,exl100.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME 0.252 Software List ROMs (merged)/exl100.xml,3768263447,4247
FILE,visicom.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME 0.252 Software List ROMs (merged)/visicom.xml,3916980386,1535
FILE,osborne1.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME 0.252 Software List ROMs (merged)/osborne1.xml,947648331,5624
FILE,sc3000_cass.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME 0.252 Software List ROMs (merged)/sc3000_cass.xml,2609302496,4937
FILE,amiga_a1000.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME 0.252 Software List ROMs (merged)/amiga_a1000.xml,314634601,2130
FILE,xegs.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME 0.252 Software List ROMs (merged)/xegs.xml,3380697230,11954
FILE,vic1001_flop.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME 0.252 Software List ROMs (merged)/vic1001_flop.xml,247807132,1802
FILE,mo5_flop.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME 0.252 Software List ROMs (merged)/mo5_flop.xml,3030801226,20131
FILE,msx2_cart.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME 0.252 Software List ROMs (merged)/msx2_cart.xml,460500821,51564
FILE,myvision.xml,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/PleasureDome/MAME/MAME 0.252 Software List ROMs (merged)/myvision.xml,1696818252,1974
