Type,Name,URL,CRC,Size
FILE,Matra Hachette Alice 90 - Applications (TOSEC-v2018-03-08_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Matra Hachette/Alice 90/Applications/Matra Hachette Alice 90 - Applications/Matra Hachette Alice 90 - Applications (TOSEC-v2018-03-08_CM).dat,3586545523,2728
DIRECTORY,Games,,,
DIRECTORY,Matra Hachette Alice 90 - Games,,,
FILE,Matra Hachette Alice 90 - Games (TOSEC-v2018-03-08_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Matra Hachette/Alice 90/Games/Matra Hachette Alice 90 - Games/Matra Hachette Alice 90 - Games (TOSEC-v2018-03-08_CM).dat,57080599,1742
DIRECTORY,Alice 32,,,
DIRECTORY,Educational,,,
DIRECTORY,Matra Hachette Alice 32 - Educational,,,
FILE,Matra Hachette Alice 32 - Educational (TOSEC-v2018-03-08_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Matra Hachette/Alice 32/Educational/Matra Hachette Alice 32 - Educational/Matra Hachette Alice 32 - Educational (TOSEC-v2018-03-08_CM).dat,3287817784,8320
DIRECTORY,Applications,,,
DIRECTORY,[CAS],,,
DIRECTORY,Matra Hachette Alice 32 - Applications - [CAS],,,
FILE,Matra Hachette Alice 32 - Applications - [CAS] (TOSEC-v2018-03-08_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Matra Hachette/Alice 32/Applications/[CAS]/Matra Hachette Alice 32 - Applications - [CAS]/Matra Hachette Alice 32 - Applications - [CAS] (TOSEC-v2018-03-08_CM).dat,388790291,1244
DIRECTORY,[K7],,,
DIRECTORY,Matra Hachette Alice 32 - Applications - [K7],,,
FILE,Matra Hachette Alice 32 - Applications - [K7] (TOSEC-v2018-03-08_CM).dat,https://raw.githubusercontent.com/open-retrogaming-archive/dat-catalog/main/root/normalized/TOSEC/Matra Hachette/Alice 32/Applications/[K7]/Matra Hachette Alice 32 - Applications - [K7]/Matra Hachette Alice 32 - Applications - [K7] (TOSEC-v2018-03-08_CM).dat,984283176,5528
DIRECTORY,Games,,,
DIRECTORY,[WAV],,,
